V1, V2
7.7,8.338
9.4,9.1105
8.4,6.235999999999999
9.3,9.17
9.1,8.1365
8.4,7.845
7.5,6.748000000000001
9.6,8.8245
9.0,9.174
9.5,7.960000000000001
8.6,8.8765
7.8,7.576499999999999
8.4,8.482
9.2,9.434000000000001
7.2,7.1884999999999994
8.6,8.2675
9.5,9.376999999999999
8.6,7.62
8.5,7.4275
8.6,6.593500000000001
