V1, V2
6.7,7.5495
7.5,2.057
8.1,4.404
7.9,5.095
9.1,6.816500000000001
7.4,4.005
7.5,6.8975
9.7,9.292
7.9,7.1365
8.1,5.058
7.0,4.019
8.7,4.404
8.8,6.799999999999999
8.3,5.561
7.6,4.931500000000001
4.1,8.126
8.3,8.147499999999999
8.2,7.313000000000001
8.2,5.849
7.7,8.334
9.0,8.486
